"scientificName","latitude","longitude","date","effort_distance_km","run","event_id"
"Calypte anna",33.3157082,-111.1401062,2015-04-26,0.161,150,374
"Calypte anna",49.080445,-121.923319,2016-11-08,0.2,150,375
"Calypte anna",33.537127,-111.9150585,2016-07-28,0.161,150,376
"Calypte anna",39.753591,-121.7827016,2015-01-03,0.161,150,377
"Calypte anna",33.0114,-117.2744,2013-11-09,0.201,150,378
"Calypte anna",36.9915161,-121.9984102,2014-02-03,0.161,150,379
"Calypte anna",33.6683005,-117.9991615,2017-12-31,0.161,150,380
"Calypte anna",46.70375,-122.96457,2013-12-27,0.161,150,381
"Calypte anna",32.3478054,-110.9039579,2017-06-03,0.161,150,382
"Calypte anna",49.7757822,-124.359646,2017-05-13,0.2,150,383
"Calypte anna",31.72515,-110.88011,2015-08-16,0.161,150,384
"Calypte anna",37.241209,-121.884531,2017-08-24,0.161,150,385
"Calypte anna",44.6101933,-122.8395169,2017-04-18,0.161,150,386
"Calypte anna",37.4203787,-122.1144587,2014-09-21,0.161,150,387
"Calypte anna",44.5178604,-123.3458608,2015-09-26,0.161,150,388
"Calypte anna",44.060769,-124.096895,2017-03-10,0.161,150,389
"Calypte anna",38.3079551,-122.9214978,2015-01-22,0.161,150,390
"Calypte anna",48.2219126,-122.6281822,2013-11-06,0.161,150,391
